iter	Passed	Remaining
313	1033	2257
314	1037	2257
315	1040	2251
316	1044	2251
317	1046	2244
318	1048	2237
319	1049	2230
320	1051	2223
321	1052	2216
322	1053	2209
323	1055	2202
324	1082	2247
325	1084	2241
326	1086	2235
327	1090	2234
328	1092	2228
329	1093	2221
330	1096	2216
331	1097	2209
332	1100	2205
333	1104	2203
334	1106	2196
335	1107	2189
336	1110	2185
337	1112	2179
338	1136	2215
339	1138	2209
340	1140	2203
341	1141	2196
342	1144	2191
343	1146	2185
344	1149	2183
345	1151	2176
346	1153	2170
347	1155	2165
348	1158	2160
349	1159	2153
350	1160	2146
351	1198	2205
352	1199	2199
353	1201	2192
354	1203	2185
355	1204	2179
356	1206	2172
357	1207	2166
358	1209	2159
359	1214	2158
360	1216	2152
361	1217	2145
362	1218	2139
363	1221	2133
364	1222	2127
365	1224	2120
366	1230	2121
367	1231	2115
368	1249	2136
369	1252	2132
370	1254	2127
371	1256	2120
372	1266	2128
373	1268	2122
374	1270	2116
375	1271	2110
376	1276	2108
377	1278	2104
378	1281	2099
379	1283	2094
380	1285	2088
381	1287	2082
382	1325	2135
383	1327	2128
384	1329	2123
385	1331	2118
386	1333	2111
387	1334	2105
388	1336	2098
389	1338	2093
390	1340	2088
391	1342	2082
392	1344	2077
393	1347	2072
394	1349	2066
395	1350	2060
396	1355	2058
397	1376	2081
398	1379	2078
399	1382	2073
400	1388	2073
401	1390	2069
402	1394	2065
403	1396	2060
404	1399	2056
405	1402	2052
406	1405	2047
407	1406	2041
408	1408	2035
409	1410	2029
410	1433	2053
411	1436	2049
412	1438	2043
413	1440	2038
414	1442	2032
415	1446	2030
416	1448	2024
417	1450	2019
418	1461	2027
419	1463	2021
420	1487	2046
421	1491	2042
422	1493	2036
423	1498	2036
424	1504	2035
425	1510	2035
426	1513	2031
427	1515	2024
428	1516	2018
429	1518	2012
430	1520	2007
431	1524	2004
432	1526	1998
433	1563	2038
434	1566	2034
435	1568	2029
436	1571	2024
437	1574	2019
438	1576	2014
439	1579	2010
440	1580	2003
441	1585	2001
442	1586	1995
443	1588	1989
444	1590	1983
445	1592	1978
446	1594	1972
447	1643	2025
448	1645	2018
449	1647	2013
450	1650	2008
451	1652	2003
452	1656	2000
453	1660	1996
454	1661	1990
455	1663	1984
456	1665	1978
457	1667	1972
458	1669	1967
459	1670	1961
460	1676	1959
461	1678	1954
462	1680	1948
463	1682	1943
464	1684	1938
465	1686	1932
466	1688	1926
467	1689	1920
468	1690	1914
469	1694	1910
470	1696	1904
471	1697	1898
472	1698	1892
473	1701	1887
474	1702	1881
475	1704	1875
476	1706	1870
477	1708	1865
478	1710	1860
479	1729	1874
480	1732	1869
481	1735	1864
482	1739	1862
483	1742	1857
484	1745	1853
485	1747	1848
486	1749	1843
487	1752	1838
488	1753	1832
489	1755	1827
490	1757	1821
491	1759	1816
492	1761	1811
493	1762	1805
494	1767	1802
495	1768	1797
496	1770	1791
497	1774	1788
498	1776	1783
499	1778	1778
500	1780	1773
501	1782	1768
502	1788	1767
503	1792	1763
504	1797	1762
505	1800	1757
506	1802	1752
507	1803	1746
508	1805	1741
509	1807	1736
510	1839	1760
511	1841	1755
512	1844	1751
513	1846	1746
514	1849	1741
515	1851	1736
516	1853	1731
517	1855	1726
518	1857	1721
519	1859	1716
520	1861	1711
521	1863	1706
522	1865	1701
523	1867	1696
524	1869	1691
525	1907	1718
526	1908	1713
527	1910	1707
528	1912	1703
529	1914	1697
530	1916	1692
531	1918	1687
532	1922	1684
533	1924	1679
534	1926	1674
535	1927	1668
536	1929	1663
537	1931	1658
538	1933	1653
539	1943	1655
540	1947	1652
541	1964	1660
542	1966	1654
543	1978	1658
544	1980	1653
545	1986	1651
546	1990	1648
547	1992	1643
548	1994	1638
549	1996	1633
550	1998	1628
551	2000	1623
552	2001	1618
553	2003	1612
554	2007	1609
555	2008	1603
556	2009	1598
557	2011	1593
558	2016	1591
559	2018	1586
560	2020	1580
561	2022	1575
562	2023	1570
563	2025	1565
564	2032	1565
565	2036	1561
566	2087	1593
567	2090	1589
568	2091	1584
569	2094	1580
570	2097	1575
571	2098	1570
572	2100	1565
573	2102	1560
574	2113	1562
575	2115	1557
576	2117	1552
577	2119	1547
578	2120	1541
579	2122	1536
580	2128	1534
581	2130	1529
582	2187	1564
583	2193	1562
584	2194	1556
585	2196	1551
586	2198	1546
587	2199	1541
588	2201	1535
589	2202	1530
590	2203	1525
591	2207	1521
592	2209	1516
593	2210	1510
594	2213	1506
595	2217	1503
596	2219	1498
597	2224	1495
598	2226	1490
599	2228	1485
600	2256	1498
601	2258	1493
602	2262	1489
603	2263	1484
604	2265	1479
605	2266	1473
606	2269	1469
607	2271	1464
608	2272	1459
609	2273	1453
610	2275	1448
611	2276	1443
612	2278	1438
613	2279	1433
614	2280	1427
615	2282	1422
616	2286	1419
617	2329	1440
618	2331	1434
619	2333	1430
620	2335	1425
621	2336	1420
622	2338	1415
623	2340	1410
624	2342	1405
625	2345	1401
626	2347	1396
627	2349	1391
628	2351	1386
629	2356	1383
630	2363	1381
631	2365	1377
632	2366	1372
633	2371	1368
634	2373	1364
635	2375	1359
636	2378	1355
637	2380	1350
638	2386	1348
639	2389	1343
640	2391	1339
641	2395	1335
642	2407	1336
643	2409	1331
644	2411	1327
645	2413	1322
646	2418	1319
647	2421	1315
648	2423	1310
649	2425	1305
650	2426	1301
651	2428	1296
652	2429	1291
653	2431	1286
654	2433	1281
655	2434	1276
656	2435	1271
657	2437	1266
658	2438	1261
659	2440	1257
660	2442	1252
661	2446	1249
662	2464	1252
663	2466	1248
664	2468	1243
665	2470	1238
666	2472	1234
667	2473	1229
668	2476	1225
669	2479	1221
670	2480	1216
671	2482	1211
672	2483	1206
673	2485	1202
674	2486	1197
675	2487	1192
676	2489	1187
677	2492	1183
678	2494	1179
679	2495	1174
680	2496	1169
681	2500	1166
682	2502	1161
683	2503	1156
684	2505	1152
685	2507	1147
686	2510	1143
687	2519	1142
688	2521	1138
689	2524	1133
690	2525	1129
691	2528	1125
692	2530	1121
693	2532	1116
694	2533	1111
695	2535	1107
696	2547	1107
697	2549	1102
698	2552	1098
699	2554	1094
700	2557	1091
701	2559	1086
702	2561	1081
703	2562	1077
704	2565	1073
705	2567	1069
706	2576	1067
707	2578	1063
708	2580	1059
709	2582	1054
710	2583	1050
711	2588	1046
712	2589	1042
713	2627	1052
714	2629	1048
715	2654	1053
716	2656	1048
717	2657	1043
718	2659	1039
719	2661	1034
720	2673	1034
721	2675	1030
722	2677	1025
723	2678	1021
724	2680	1016
725	2682	1012
726	2684	1008
727	2686	1003
728	2688	999
729	2690	995
730	2692	990
731	2694	986
732	2699	983
733	2701	978
734	2703	974
735	2705	970
736	2707	966
737	2709	961
738	2711	957
739	2714	953
740	2716	949
741	2718	945
742	2719	940
743	2721	936
744	2723	932
745	2726	928
746	2732	925
747	2734	921
748	2736	917
749	2738	912
750	2740	908
751	2744	905
752	2746	900
753	2747	896
754	2752	893
755	2753	888
756	2755	884
757	2759	881
758	2762	877
759	2764	872
760	2765	868
761	2767	864
762	2768	860
763	2770	855
764	2771	851
765	2772	847
766	2780	844
767	2782	840
768	2783	836
769	2785	832
770	2787	827
771	2788	823
772	2792	820
773	2794	815
774	2795	811
775	2797	807
776	2798	803
777	2799	798
778	2801	794
779	2802	790
780	2804	786
781	2830	789
782	2833	785
783	2835	781
784	2836	776
785	2841	773
786	2843	769
787	2844	765
788	2846	761
789	2848	757
790	2850	753
791	2851	748
792	2856	745
793	2857	741
794	2859	737
795	2860	733
796	2862	729
797	2863	724
798	2865	720
799	2871	717
800	2872	713
801	2873	709
802	2875	705
803	2877	701
804	2878	697
805	2879	693
806	2881	689
807	2882	684
808	2886	681
809	2888	677
810	2889	673
811	2890	669
812	2893	665
813	2894	661
814	2896	657
815	2897	653
816	2902	650
817	2903	646
818	2905	642
819	2912	639
820	2913	635
821	2915	631
822	2916	627
823	2917	623
824	2919	619
825	2920	615
826	2921	611
827	2923	607
828	2924	603
829	2925	599
830	2927	595
831	2928	591
832	2930	587
833	2931	583
834	2933	579
835	2934	575
836	2936	571
837	2937	567
838	2942	564
839	2943	560
840	2945	556
841	2946	552
842	2948	549
843	2949	545
844	2950	541
845	2952	537
846	2956	534
847	2959	530
848	2961	526
849	2963	522
850	2964	519
851	2966	515
852	2968	511
853	2969	507
854	2971	503
855	2992	503
856	2994	499
857	2996	495
858	2999	492
859	3000	488
860	3002	484
861	3003	480
862	3005	477
863	3023	475
864	3024	472
865	3025	468
866	3027	464
867	3029	460
868	3030	456
869	3032	453
870	3033	449
871	3035	445
872	3036	441
873	3042	438
874	3044	434
875	3045	431
876	3047	427
877	3051	423
878	3052	420
879	3076	419
880	3078	415
881	3079	412
882	3081	408
883	3082	404
884	3083	400
885	3087	397
886	3090	393
887	3092	390
888	3094	386
889	3096	382
890	3097	378
891	3099	375
892	3101	371
893	3103	367
894	3104	364
895	3106	360
896	3107	356
897	3109	353
898	3111	349
899	3112	345
900	3113	342
901	3123	339
902	3125	335
903	3126	332
904	3128	328
905	3130	324
906	3135	321
907	3137	317
908	3139	314
909	3141	310
910	3143	307
911	3144	303
912	3149	300
913	3195	300
914	3201	297
915	3203	293
916	3205	290
917	3206	286
918	3208	282
919	3209	279
920	3211	275
921	3214	271
922	3217	268
923	3219	264
924	3220	261
925	3222	257
926	3223	253
927	3224	250
928	3227	246
929	3229	243
930	3245	240
931	3247	236
932	3248	233
933	3249	229
934	3251	226
935	3252	222
936	3254	218
937	3257	215
938	3259	211
939	3260	208
940	3262	204
941	3263	200
942	3268	197
943	3271	194
944	3274	190
945	3276	187
946	3278	183
947	3289	180
948	3290	176
949	3292	173
950	3294	169
951	3295	166
952	3300	162
953	3303	159
954	3305	155
955	3306	152
956	3308	148
957	3309	145
958	3310	141
959	3312	138
960	3314	134
961	3315	130
962	3317	127
963	3319	123
964	3332	120
965	3334	117
966	3337	113
967	3341	110
968	3343	106
969	3345	103
970	3347	99
971	3349	96
972	3350	92
973	3352	89
974	3354	86
975	3356	82
976	3357	79
977	3359	75
978	3361	72
979	3363	68
980	3364	65
981	3366	61
982	3373	58
983	3375	54
984	3377	51
985	3378	47
986	3379	44
987	3384	41
988	3386	37
989	3388	34
990	3390	30
991	3391	27
992	3393	23
993	3394	20
994	3399	17
995	3400	13
996	3402	10
997	3403	6
998	3405	3
999	3408	0
